"height"	"lad"	"treeID"
1.5	0.0172	"1_Eglin_zone1_CROWN"
2.5	0	"1_Eglin_zone1_CROWN"
3.5	0	"1_Eglin_zone1_CROWN"
4.5	0	"1_Eglin_zone1_CROWN"
5.5	0	"1_Eglin_zone1_CROWN"
6.5	0.1014	"1_Eglin_zone1_CROWN"
7.5	0.2985	"1_Eglin_zone1_CROWN"
8.5	0.0161	"1_Eglin_zone1_CROWN"
9.5	0.1933	"1_Eglin_zone1_CROWN"
10.5	0.2202	"1_Eglin_zone1_CROWN"
11.5	0.2082	"1_Eglin_zone1_CROWN"
12.5	0.0686	"1_Eglin_zone1_CROWN"
13.5	0.067	"1_Eglin_zone1_CROWN"
14.5	0.0333	"1_Eglin_zone1_CROWN"
15.5	0.0531	"1_Eglin_zone1_CROWN"
1.5	0	"10_Eglin_zone1_CROWN"
2.5	0	"10_Eglin_zone1_CROWN"
3.5	0	"10_Eglin_zone1_CROWN"
4.5	0	"10_Eglin_zone1_CROWN"
5.5	0.231	"10_Eglin_zone1_CROWN"
6.5	0.1703	"10_Eglin_zone1_CROWN"
7.5	0.231	"10_Eglin_zone1_CROWN"
8.5	0.0514	"10_Eglin_zone1_CROWN"
9.5	0	"10_Eglin_zone1_CROWN"
10.5	0.0608	"10_Eglin_zone1_CROWN"
11.5	0.5527	"10_Eglin_zone1_CROWN"
12.5	0.4413	"10_Eglin_zone1_CROWN"
13.5	0.615	"10_Eglin_zone1_CROWN"
14.5	0.0147	"10_Eglin_zone1_CROWN"
1.5	0.0239	"100_Eglin_zone1_CROWN"
2.5	0	"100_Eglin_zone1_CROWN"
3.5	0	"100_Eglin_zone1_CROWN"
4.5	0	"100_Eglin_zone1_CROWN"
5.5	0.0143	"100_Eglin_zone1_CROWN"
6.5	0.0541	"100_Eglin_zone1_CROWN"
7.5	0.0524	"100_Eglin_zone1_CROWN"
8.5	0.1705	"100_Eglin_zone1_CROWN"
9.5	0.4748	"100_Eglin_zone1_CROWN"
10.5	0.0963	"100_Eglin_zone1_CROWN"
11.5	0.0924	"100_Eglin_zone1_CROWN"
12.5	0.0276	"100_Eglin_zone1_CROWN"
1.5	0	"101_Eglin_zone1_CROWN"
2.5	0	"101_Eglin_zone1_CROWN"
3.5	0	"101_Eglin_zone1_CROWN"
4.5	0.1032	"101_Eglin_zone1_CROWN"
5.5	0.0828	"101_Eglin_zone1_CROWN"
6.5	0.2544	"101_Eglin_zone1_CROWN"
7.5	0.1811	"101_Eglin_zone1_CROWN"
8.5	0.1719	"101_Eglin_zone1_CROWN"
9.5	0.1408	"101_Eglin_zone1_CROWN"
10.5	0.0538	"101_Eglin_zone1_CROWN"
11.5	0.0668	"101_Eglin_zone1_CROWN"
12.5	0.0035	"101_Eglin_zone1_CROWN"
1.5	0	"102_Eglin_zone1_CROWN"
2.5	0	"102_Eglin_zone1_CROWN"
3.5	0	"102_Eglin_zone1_CROWN"
4.5	0	"102_Eglin_zone1_CROWN"
5.5	0.1754	"102_Eglin_zone1_CROWN"
6.5	0.0635	"102_Eglin_zone1_CROWN"
7.5	0.139	"102_Eglin_zone1_CROWN"
8.5	0.2338	"102_Eglin_zone1_CROWN"
9.5	0.1827	"102_Eglin_zone1_CROWN"
10.5	0.0932	"102_Eglin_zone1_CROWN"
11.5	0.0274	"102_Eglin_zone1_CROWN"
12.5	0.01	"102_Eglin_zone1_CROWN"
1.5	0.023	"103_Eglin_zone1_CROWN"
2.5	0	"103_Eglin_zone1_CROWN"
3.5	0	"103_Eglin_zone1_CROWN"
4.5	0	"103_Eglin_zone1_CROWN"
5.5	0.0445	"103_Eglin_zone1_CROWN"
6.5	0.0445	"103_Eglin_zone1_CROWN"
7.5	0.1744	"103_Eglin_zone1_CROWN"
8.5	0.1183	"103_Eglin_zone1_CROWN"
9.5	0.0773	"103_Eglin_zone1_CROWN"
10.5	0.3261	"103_Eglin_zone1_CROWN"
11.5	0.0343	"103_Eglin_zone1_CROWN"
12.5	0.0185	"103_Eglin_zone1_CROWN"
1.5	0	"104_Eglin_zone1_CROWN"
2.5	0.0152	"104_Eglin_zone1_CROWN"
3.5	0.0143	"104_Eglin_zone1_CROWN"
4.5	0.0813	"104_Eglin_zone1_CROWN"
5.5	0.1335	"104_Eglin_zone1_CROWN"
6.5	0.0373	"104_Eglin_zone1_CROWN"
7.5	0.0519	"104_Eglin_zone1_CROWN"
8.5	0.0122	"104_Eglin_zone1_CROWN"
9.5	0.1203	"104_Eglin_zone1_CROWN"
10.5	0.489	"104_Eglin_zone1_CROWN"
11.5	0.9372	"104_Eglin_zone1_CROWN"
12.5	0.0413	"104_Eglin_zone1_CROWN"
1.5	0	"105_Eglin_zone1_CROWN"
2.5	0	"105_Eglin_zone1_CROWN"
3.5	0	"105_Eglin_zone1_CROWN"
4.5	0.0401	"105_Eglin_zone1_CROWN"
5.5	0.1376	"105_Eglin_zone1_CROWN"
6.5	0.0975	"105_Eglin_zone1_CROWN"
7.5	0.272	"105_Eglin_zone1_CROWN"
8.5	0.2133	"105_Eglin_zone1_CROWN"
9.5	0.1101	"105_Eglin_zone1_CROWN"
10.5	0.1338	"105_Eglin_zone1_CROWN"
11.5	0.0802	"105_Eglin_zone1_CROWN"
12.5	0.0032	"105_Eglin_zone1_CROWN"
